"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"DBLOAMIM_00170",3292.20993234374,-0.24396977663023,0.199716519048085,-1.22158035696331,0.221866360609246,0.422804457368506
"DBLOAMIM_00171",1034.75579488373,-0.134758882099112,0.146065926227582,-0.922589446967584,0.35622119724551,0.56372423895365
"DBLOAMIM_00172",561.762011959439,0.536705987540705,0.201984906873029,2.65715887315327,0.00788022967233994,0.035946409990855
"DBLOAMIM_00173",616.94587030283,0.272295390299474,0.171885751493252,1.58416499293232,0.11315617738643,0.265790349495365
"DBLOAMIM_00174",2.95506606024217,-1.77113205304595,1.49913921316562,-1.18143267649305,0.237430883451882,0.440568138932821
"DBLOAMIM_00175",162.111275725201,-0.135604973898319,0.220428863792064,-0.615187011199399,0.538431224626494,0.725558393485769
"DBLOAMIM_00176",154.930221914972,-1.3005865494372,0.251608886157938,-5.16908035044838,2.35248745699334e-07,4.02963497735322e-06
"DBLOAMIM_00177",58.5207110275013,-0.379368673033961,0.35361046348871,-1.07284345969608,0.283341357794756,0.489182624463326
"DBLOAMIM_00178",94.399488406005,-0.360783251286364,0.287477011559042,-1.25499861477538,0.209479262827253,0.407941828150831
"DBLOAMIM_00180",463.330602794839,-0.50136419890197,0.182931372685442,-2.74072288171197,0.00613041878435562,0.0294026561885856
"DBLOAMIM_00181",4.36753713887623,-2.46019851216488,1.40515504456905,-1.75083776105248,0.0799738601059762,0.209546492972787
"DBLOAMIM_00182",481.591786994003,-0.404053263967086,0.179217123084692,-2.25454608919341,0.0241618346131042,0.0842652348418232
"DBLOAMIM_00183",310.829585740182,-0.243617176145448,0.227984679813208,-1.06856818776177,0.285264289572729,0.489182624463326
"DBLOAMIM_00184",124.980996790615,0.291651242020786,0.254568276872978,1.14567001671741,0.251931714467534,0.455942072512843
"DBLOAMIM_00185",1052.62216221174,0.796201574486092,0.156606383508589,5.08409399826557,3.69384983710291e-07,6.15967807273187e-06
"DBLOAMIM_00186",149.922790754165,-0.0689021746105632,0.240880008422493,-0.286043557793769,0.774844760370294,0.880044703027695
"DBLOAMIM_00187",628.658219239406,-0.169271341607316,0.162010018693405,-1.04482020909863,0.296106072838398,0.501071970031643
"DBLOAMIM_00188",415.381956831246,0.206751230486447,0.20225120515295,1.022249683655,0.306662741100845,0.511714235978746
"DBLOAMIM_00189",495.468159090048,0.31367221079911,0.182463485253378,1.71909579806353,0.0855969298002367,0.219037671988817
"DBLOAMIM_00190",9.85326684520222,-2.57131456803491,0.97456065573872,-2.63843461450416,0.00832897605083663,0.0373838889411883
"DBLOAMIM_00191",1915.94289194057,-0.113144172985313,0.158829009016495,-0.712364659868666,0.476238993585477,0.672934784426616
"DBLOAMIM_00193",824.291877964917,0.0289393798929028,0.174506769320724,0.165835285390652,0.868286576855247,0.940768330689119
"DBLOAMIM_00196",508.466159405796,0.442257488897611,0.167070479240315,2.64713126405454,0.00811778360256387,0.0366364808644035
"DBLOAMIM_00197",479.205696424053,0.178791396868583,0.185316303159988,0.96479043570294,0.334649787373741,0.539472643173165
"DBLOAMIM_00198",99.115633001684,-0.238196359202179,0.288721843048967,-0.825002904826226,0.409369941530463,0.61283799808187
"DBLOAMIM_00199",3.49666118798845,-0.0926074117925628,1.3502854637195,-0.0685835804952427,0.945321088955366,0.979151995882193
"DBLOAMIM_00200",457.160847530662,0.843426829125177,0.201162507593964,4.1927635483029,2.7557663912093e-05,0.000303013963889302
"DBLOAMIM_00204",228.070066193935,-0.116038453110309,0.208058782865518,-0.557719561328552,0.577035897983597,0.751150234339633
"DBLOAMIM_00205",147.212690147225,0.0382244404246957,0.228064045896964,0.167603974025634,0.866894844609839,0.939664751927496
"DBLOAMIM_00206",66.5454773801713,-0.212518075232911,0.336483815558827,-0.631584835306162,0.52765819835563,0.718185591059177
"DBLOAMIM_00207",234.282209475221,0.10433277460718,0.206824312342035,0.504451209945956,0.613944339612994,0.77782720490095
"DBLOAMIM_00208",788.137335393283,0.0615540345745566,0.162838923552412,0.378005658792902,0.705426390229031,0.84154319136441
"DBLOAMIM_00209",238.594894641455,0.263336939519114,0.23081794188255,1.14088591801547,0.253917400242374,0.457997144563251
"DBLOAMIM_00210",130.451740436616,-0.100367975390398,0.281857168157203,-0.356095167089804,0.721769296434423,0.850451608994795
"DBLOAMIM_00211",472.340453834023,-0.0278721353301096,0.196036700483158,-0.142178149608798,0.886939290528634,0.949114857546942
"DBLOAMIM_00212",736.243909570182,0.133702936131278,0.183770266462024,0.727554781877122,0.466886169251384,0.664699599976852
"DBLOAMIM_00213",304.501575291974,-0.165368686682702,0.189086982153929,-0.874564101658153,0.381811127579524,0.593823606698729
"DBLOAMIM_00214",788.882336611955,-0.495533347226413,0.199465411392127,-2.48430714762997,0.0129803795258068,0.0528876952200348
"DBLOAMIM_00215",457.36874219167,0.0040408568463926,0.170592812280077,0.0236871459728232,0.981102159158199,0.989666634236434
"DBLOAMIM_00216",657.527524792593,0.857392252420534,0.21265625575279,4.03182238578131,5.534600921342e-05,0.000557445004797567
"DBLOAMIM_00217",215.969788481594,0.357619049288007,0.209300193715971,1.70864175010421,0.0875173300923397,0.222369966874381
"DBLOAMIM_00218",207.485874603289,0.36400221400182,0.201599470827819,1.80557127708289,0.0709853325987527,0.190758876716819
"DBLOAMIM_00219",308.668307842456,0.613930468385947,0.19487212487949,3.15042733159299,0.00163031808254711,0.00972782211339721
"DBLOAMIM_00220",217.0032770207,-1.55811326306838,0.290137138717615,-5.37026479945011,7.86211120488256e-08,1.46642933436254e-06
"DBLOAMIM_00221",819.256560036516,-0.339912116056801,0.161958468656542,-2.09876099024892,0.0358379752238963,0.11514491021954
"DBLOAMIM_00222",1149.63169938228,-0.255320250148673,0.145404211255688,-1.75593435667212,0.0790996177547151,0.207688047451901
"DBLOAMIM_00223",190.07974041789,0.129624621835855,0.225185559423379,0.575634699524151,0.564862121760462,0.743025845377536
"DBLOAMIM_00224",350.188392922472,-0.0375324368915113,0.195650430319759,-0.191834164791616,0.847872108310655,0.926624118370759
"DBLOAMIM_00225",605.934348529935,0.333185363764985,0.216120070555512,1.54166784652888,0.123154329214297,0.281911455419637
"DBLOAMIM_00226",338.261981558467,-0.281970493529109,0.206717667137505,-1.36403674361102,0.17255600163345,0.360278617009144
"DBLOAMIM_00227",954.984452933773,-1.0623313699692,0.216042273079199,-4.91723844055168,8.77736163767273e-07,1.42589655507483e-05
"DBLOAMIM_00228",385.350991292622,-0.974799166465725,0.287509747830163,-3.39049084012816,0.000697675859534736,0.00468466083815591
"DBLOAMIM_00229",89.7842386339099,-3.07603429929259,0.365498786889205,-8.41599044821191,3.89589056514199e-17,2.13257661804947e-15
"DBLOAMIM_00230",292.713041203652,-1.18122747233445,0.212843249655013,-5.54975304243403,2.86073412614171e-08,5.76266282369986e-07
"DBLOAMIM_00231",1436.94215564495,-0.0906742248244851,0.163855874581696,-0.553377930794151,0.580004647650065,0.753587049939557
"DBLOAMIM_00232",1.80744435032754,-1.98179752734564,1.84084196987945,-1.07657124281854,0.281671857241984,0.487792115911497
"DBLOAMIM_00233",25.9757528331021,-0.638023902405176,0.473741313809948,-1.34677699370153,0.178052066426879,0.36748778955974
"DBLOAMIM_00234",367.773651639681,-0.183104997309853,0.185067051297368,-0.989398145300525,0.322468381623741,0.527358894943095
"DBLOAMIM_00235",251.774420204979,-0.174110935568076,0.210204097107726,-0.828294681044429,0.407503634377301,0.611665119974947
"DBLOAMIM_00236",310.572502273966,-0.35282606236207,0.196592868129865,-1.79470428260399,0.0727008278658072,0.19498512596247
"DBLOAMIM_00237",454.248514240311,-0.140632296191166,0.184269715965933,-0.763187241343368,0.445351736690926,0.644850875783641
"DBLOAMIM_00238",823.191917975037,-0.414514533708971,0.164855792181812,-2.51440685354762,0.0119232794436805,0.0494609845785625
"DBLOAMIM_00239",130.822724841479,0.0941261865179347,0.277197565933095,0.339563539099233,0.734185239804437,0.859224333531187
"DBLOAMIM_00240",31.1185864730444,0.121361014005448,0.442836045200873,0.274054055266431,0.784043081101059,0.88569783679339
"DBLOAMIM_00241",202.172000195593,-0.269030084245687,0.214527824777036,-1.25405683167345,0.209821349371952,0.408292239349749
"DBLOAMIM_00242",119.734200941912,-0.276933659208105,0.24921494724648,-1.11122411503757,0.266471893672225,0.472518470610326
"DBLOAMIM_00243",326.954822988254,0.124304960293232,0.190515932647172,0.652464907087011,0.514101304322772,0.704685402441338
"DBLOAMIM_00244",676.022019896074,0.85076859494724,0.154846352485103,5.49427597933953,3.92316574621495e-08,7.71760261638221e-07
"DBLOAMIM_00245",371.237543393039,-3.21749844103504,0.286344095451924,-11.2364755975045,2.69945509979274e-29,3.39861397063905e-27
"DBLOAMIM_00246",162.192981731763,-3.20128060718441,0.295843274504711,-10.8208665975046,2.74172580412582e-27,3.00159372816905e-25
"DBLOAMIM_00247",217.114787990275,-2.57251804766387,0.286315873258617,-8.9848949636831,2.58981550696533e-19,1.59052571866798e-17
"DBLOAMIM_00248",110.339253225784,-2.41945914529898,0.344524475826535,-7.02260453192638,2.1776996083836e-12,7.4100643431215e-11
"DBLOAMIM_00249",58.4234049886726,-2.52386627331466,0.407918834308328,-6.18717759770557,6.1250946461836e-10,1.55787760798892e-08
"DBLOAMIM_00250",50.1281594346941,-2.89862498597403,0.45957710128444,-6.30715711873561,2.84207284154125e-10,7.45452022395923e-09
"DBLOAMIM_00251",350.29270276109,-2.67152987885216,0.26608722718618,-10.0400530574243,1.01619483175872e-23,7.99618308240144e-22
"DBLOAMIM_00252",200.203316938879,-2.3797849017942,0.339297071609185,-7.01386808470696,2.3181797857841e-12,7.78290226747248e-11
